1830 Kay, Ken
220 Maslow, Abraham
722 Goldwyn, Samuel
551 Miller, Arthur
176 Picasso, Pablo
369 Frost, Robert
102 Humboldt, Alexander von
1006 Tannen, Deborah
1392 Fischer, Joschka
1903 Baker, Russell
1373 Schneier, Bruce
1951 Angelou, Maya
798 Charles, Ray
622 Charles II, King of England
1021 Alfven, Hannes
1136 Gerety, Frances
498 Goethe, Johann Wolfgang von
1748 Leacock, Stephen
809 Oberst, Conor
1252 Freud, Sigmund
829 Golding, William
391 Bell, Alexander Graham
1819 Belloc, Hilaire
579 Riley, Tim
290 Alexander the Great
395 Fiske, Irving
646 Sathya Sai Baba
1751 Bradbury, Ray
134 Ballmer, Steve
1295 Clough, Brian
1468 Soros, George
1239 Spencer, Herbert
1445 Hubbard, Elbert
1577 Allen, Agnes
1157 Peter Kay
642 Buscaglia, Leo
1169 Cohen, Leonard
908 Ranke, Leopold von
774 Stalin, Joseph
409 Pater, Walter
1574 Walken, Christopher
715 Sterling, Bruce
1542 Heilbrun, Carolyn
1795 Stowe, Madeleine
1559 Housman, A. E.
1875 Hamilton, Gail
1709 Le Corbusier
1858 Thoreau, Henry David
1059 Flaubert, Gustave
897 Friedman, Kinky
171 Cantona, Eric
225 Choate, Rufus
1884 Soong May-ling
968 Heywood, John
795 Ganilau, Ratu Epeli
1479 Men, Alexander
1294 Hain, Peter
613 Congreve, William
675 Beddoes, Mick
983 Stanton, Elizabeth Cady
1388 Sorkin, Aaron
725 Bombeck, Erma
650 Kafka, Franz
1623 Robespierre, Maximilien
886 Madraiwiwi, Ratu Joni
1152 Bevel, Ken
580 Vaughan, Norman D.
1181 Vidal, Gore
1382 Dominus, Mark-Jason
452 Butler, Samuel (1612-1680)
501 Kinsey, Alfred
1689 Cannon, James P.
1825 Hubbard, Kin (Frank McKinney Hubbard)
334 Feingold, Russ
199 Abagnale, Frank
151 Edwards, Edwin W.
557 Sixtus V (pope)
820 Gyllenhaal, Jake
439 Sitwell, Edith
1281 Stratford, Lord (Tony Banks)
1380 Perger, Andreas Paolo
205 Bradley, Omar
1587 Iloilo, Ratu Josefa
119 Einstein, Albert
313 Hernández, Julián
769 Winfrey, Oprah
801 Young, Cy
1923 Copeland, Stewart
1520 Nugent, Ted
109 Simak, Clifford D.
1548 Amiel, Barbara
1798 Atwood, Margaret
340 Perlis, Alan
2 Heindel, Max
1473 Kline, Kevin
606 Mansfield, Katherine
724 Pauli, Wolfgang
233 Machiavelli, Niccolo
870 Daley, Richard J.
135 Philip, Duke of Edinburgh
904 Gauguin, Paul
1003 Obama, Barack
487 Manson, Charles
996 Fonteyn, Margot
1269 Wiesel, Elie
1774 Benjamin, Walter
942 Han Shan
1342 Watson, Thomas J.
1353 Roux, Joseph
338 Adams, Douglas
861 Bonhoeffer, Dietrich
605 Jeter, Derek
475 Leary, Timothy
999 Ball, Hugo
26 Grant, Ulysses S.
1802 Navakasuasua, Maciu
1607 Morris, Mixmaster
404 Weil, Simone
